"Age";"Status";"Studies";"YearsOfExperience";Length;Level;Distance_from_Center;number_of_given_answers;expected_answer;given_answer;is_correct;time_in_milliseconds;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;1;7;1;11;1;false;555;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;7;1;1;2;1;false;692;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;11;3;1;12;1;false;605;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;13;5;1;4;1;false;740;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;4;4;1;9;1;false;666;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;4;4;1;8;1;false;809;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;14;6;1;6;1;false;741;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;1;7;1;11;1;false;700;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;2;6;1;13;1;false;696;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;12;4;1;10;1;false;687;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;12;4;1;2;1;false;613;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;6;2;1;13;1;false;621;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;13;5;1;6;1;false;1015;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;14;6;1;10;1;false;571;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;6;2;1;15;1;false;651;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;9;1;1;5;1;false;644;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;11;3;1;8;1;false;757;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;15;7;1;5;1;false;714;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;1;7;1;16;1;false;919;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;3;5;1;2;1;false;660;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;1;7;1;8;1;false;589;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;10;2;1;7;1;false;761;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;9;1;1;15;1;false;1015;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;13;5;1;5;1;false;1063;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;7;1;1;14;1;false;1152;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;9;1;1;3;1;false;622;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;3;5;1;15;1;false;666;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;7;1;1;11;1;false;790;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;8;0;1;1;1;true;617;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;5;3;1;11;1;false;909;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;7;1;1;1;1;true;956;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;12;4;1;12;1;false;1432;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;6;2;1;5;1;false;737;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;13;5;1;9;1;false;682;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;11;3;1;5;1;false;1306;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;6;2;1;4;1;false;1027;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;12;4;1;10;1;false;1410;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;13;5;1;7;1;false;652;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;4;4;1;6;1;false;704;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;6;2;1;16;1;false;676;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;9;1;1;12;1;false;657;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;10;2;1;5;1;false;572;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;3;5;1;10;1;false;813;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;1;7;1;14;1;false;536;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;10;2;1;14;1;false;669;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;8;0;1;14;1;false;5412;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;6;2;1;12;1;false;3175;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;3;5;1;5;1;false;768;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;7;1;1;12;1;false;849;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;5;3;1;11;1;false;700;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;14;6;1;2;1;false;1024;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;4;4;1;14;1;false;719;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;3;5;1;2;1;false;854;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;8;0;1;2;1;false;7178;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;4;4;1;4;1;false;757;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;10;2;1;2;1;false;4782;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;6;2;1;2;1;false;3606;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;9;1;1;9;1;false;826;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;11;3;1;11;1;false;1552;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;11;3;1;16;1;false;1895;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;5;3;1;8;1;false;627;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;7;1;1;6;1;false;1541;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;11;3;1;7;1;false;2149;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;13;5;1;5;1;false;995;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;5;3;1;6;1;false;719;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;2;6;1;1;1;true;630;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;9;1;1;8;1;false;630;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;4;4;1;1;1;true;2795;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;13;5;1;8;1;false;631;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;7;1;1;15;1;false;569;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;1;7;1;14;1;false;577;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;9;1;1;9;1;false;947;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;12;4;1;1;1;true;1496;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;10;2;1;14;1;false;756;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;2;6;1;15;1;false;641;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;7;1;1;16;1;false;973;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;1;7;1;15;1;false;622;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;10;2;1;15;1;false;661;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;2;6;1;6;1;false;547;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;3;5;1;5;1;false;879;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;15;7;1;10;1;false;672;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;9;1;1;8;1;false;934;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;3;5;1;7;1;false;1580;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;12;4;1;7;1;false;754;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;11;3;1;13;1;false;816;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;13;5;1;13;1;false;1287;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;13;5;1;13;1;false;749;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;11;3;1;7;1;false;823;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;6;2;1;6;1;false;2344;
