"Age";"Status";"Studies";"YearsOfExperience";version;direction;number_guards;position;number_of_given_answers;expected_answer;given_answer;is_correct;time_in_milliseconds;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"none";If/Else;forwards;5;2;1;1;1;true;969;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"none";!If;forwards;5;1;1;5;5;true;863;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"none";!If;backwards;5;5;1;5;5;true;915;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"none";If/Else;backwards;2;2;1;3;3;true;1035;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"none";!If;forwards;3;1;1;5;5;true;828;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"none";!If;backwards;5;5;1;2;2;true;779;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"none";If/Else;forwards;5;3;1;9;9;true;1490;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"none";!If;backwards;2;2;1;8;8;true;814;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"none";If/Else;forwards;5;4;1;6;5;false;1041;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"none";If/Else;backwards;5;3;1;6;6;true;2195;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"none";If/Else;forwards;3;2;1;8;8;true;1088;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"none";If/Else;backwards;3;1;1;0;0;true;1106;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"none";!If;backwards;3;1;1;7;7;true;826;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"none";!If;backwards;5;4;1;7;7;true;913;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"none";!If;forwards;5;2;1;1;1;true;925;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"none";!If;backwards;5;5;1;8;8;true;872;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"none";!If;forwards;5;1;1;3;3;true;1030;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"none";If/Else;backwards;3;2;1;3;3;true;1553;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"none";If/Else;backwards;2;1;1;1;1;true;1728;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"none";!If;forwards;5;4;1;2;2;true;995;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"none";!If;forwards;2;2;1;3;3;true;804;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"none";If/Else;backwards;5;4;1;5;4;false;1836;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"none";If/Else;backwards;5;4;1;3;3;true;1429;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"none";!If;backwards;3;1;1;3;3;true;639;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"none";If/Else;forwards;5;5;1;3;3;true;1612;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"none";!If;backwards;1;1;1;3;3;true;946;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"none";If/Else;forwards;5;3;1;8;8;true;1588;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"none";If/Else;backwards;5;4;1;5;5;true;2029;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"none";!If;forwards;3;1;1;5;5;true;849;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"none";!If;backwards;1;1;1;6;6;true;707;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"none";If/Else;backwards;5;1;1;9;8;false;1203;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"none";!If;forwards;2;1;1;3;3;true;892;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"none";If/Else;forwards;1;1;1;2;2;true;981;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"none";!If;forwards;1;1;1;0;0;true;928;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"none";If/Else;forwards;3;1;1;9;9;true;1071;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"none";!If;forwards;3;2;1;1;1;true;847;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"none";!If;backwards;5;5;1;1;1;true;953;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"none";If/Else;backwards;5;3;1;8;8;true;3369;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"none";!If;forwards;1;1;1;8;8;true;775;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"none";!If;forwards;5;5;1;5;5;true;915;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"none";!If;backwards;2;1;1;8;8;true;795;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"none";!If;forwards;5;4;1;6;6;true;854;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"none";If/Else;backwards;3;3;1;9;9;true;1197;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"none";!If;backwards;3;3;1;1;1;true;867;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"none";If/Else;forwards;2;2;1;8;8;true;889;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"none";If/Else;forwards;5;5;1;9;9;true;985;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"none";!If;backwards;3;3;1;1;1;true;832;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"none";If/Else;forwards;5;1;1;5;5;true;1077;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"none";!If;backwards;2;2;1;5;5;true;754;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"none";If/Else;forwards;2;1;1;3;3;true;1123;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"none";If/Else;forwards;3;2;1;7;7;true;1105;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"none";If/Else;backwards;5;1;1;1;1;true;1128;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"none";If/Else;forwards;2;1;1;8;8;true;930;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"none";!If;forwards;5;3;1;7;7;true;868;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"none";If/Else;backwards;3;3;1;3;3;true;1187;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"none";!If;forwards;2;2;1;0;0;true;989;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"none";!If;forwards;3;1;1;1;1;true;745;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"none";If/Else;backwards;3;2;1;3;0;false;1229;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"none";!If;forwards;2;2;1;2;2;true;905;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"none";If/Else;backwards;5;4;1;6;6;true;1654;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"none";If/Else;forwards;3;2;1;7;2;false;1015;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"none";!If;forwards;2;1;1;8;8;true;954;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"none";If/Else;forwards;5;4;1;0;0;true;1721;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"none";!If;backwards;5;4;1;2;2;true;865;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"none";!If;forwards;5;5;1;9;9;true;1147;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"none";If/Else;backwards;2;1;1;7;7;true;1116;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"none";If/Else;forwards;2;1;1;9;9;true;945;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"none";If/Else;forwards;5;4;1;8;8;true;1613;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"none";!If;backwards;5;2;1;6;6;true;846;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"none";If/Else;backwards;5;3;1;8;8;true;1594;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"none";If/Else;backwards;5;3;1;3;3;true;1549;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"none";!If;forwards;5;5;1;1;4;false;828;
