"Age";"Status";"Studies";"YearsOfExperience";Length;Level;Distance_from_Center;number_of_given_answers;expected_answer;given_answer;is_correct;time_in_milliseconds;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";5;5;0;1;2;1;false;1177;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;4;1;1;10;1;false;957;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;7;2;1;6;1;false;2023;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;4;1;1;9;1;false;1058;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;4;1;1;2;1;false;1323;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";5;3;2;1;3;1;false;1160;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;5;0;1;10;1;false;2918;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;6;1;1;5;1;false;1212;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;6;1;1;2;1;false;974;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;6;1;1;4;1;false;977;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";5;8;3;1;7;1;false;1461;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;9;4;1;9;1;false;1258;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;9;4;1;1;1;true;1314;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;2;3;1;3;1;false;1102;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;8;3;1;7;1;false;1759;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;2;3;1;9;1;false;1749;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";5;7;2;1;5;1;false;1681;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;3;2;1;3;1;false;1678;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";5;7;2;1;6;1;false;1235;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";5;3;2;1;9;1;false;1780;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";5;7;2;1;9;1;false;1430;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;2;3;1;4;1;false;1264;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;2;3;1;1;1;true;633;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;4;1;1;10;1;false;1344;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";5;6;1;1;3;1;false;1088;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;5;0;1;1;1;true;1068;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;2;3;1;9;1;false;990;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;5;0;1;4;1;false;2108;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;9;4;1;1;1;true;655;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;2;3;1;4;1;false;823;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";5;4;1;1;10;1;false;1147;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;1;4;1;6;1;false;668;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;1;4;1;1;1;true;722;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;4;1;1;9;1;false;1981;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";5;7;2;1;8;1;false;1231;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";5;4;1;1;3;1;false;1008;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;6;1;1;3;1;false;2792;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;5;0;1;5;1;false;1571;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;9;4;1;4;1;false;742;
